,name,year,artists
76801,Kapitel 378 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58641,Kapitel 74 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58683,Kapitel 23 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58682,Часть 63.2 - Фиеста,1926,['Эрнест Хемингуэй']
58681,Часть 84.4 & Часть 85.1 - Фиеста,1926,['Эрнест Хемингуэй']
58680,Kinky Hair Is No Disgrace,1926,['Reverend J.M. Gates']
58679,Kapitel 65 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58678,Kapitel 17 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58677,Kapitel 140 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76798,Kapitel 212 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58640,Kapitel 407 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58625,Kapitel 332 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58638,Часть 6.2 - Фиеста,1926,['Эрнест Хемингуэй']
58599,Часть 57.3 - Фиеста,1926,['Эрнест Хемингуэй']
58598,Kapitel 154 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58597,Kapitel 203 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58596,Часть 43.2 - Фиеста,1926,['Эрнест Хемингуэй']
58593,My Cutey's Due At Two To Two Today,1926,['Ted Weems & His Orchestra']
58591,Часть 26.2 - Фиеста,1926,['Эрнест Хемингуэй']
58590,Kapitel 181 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76803,Kapitel 176 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58589,Kapitel 327 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58587,Kapitel 412 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58586,Kapitel 107 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58585,Kapitel 111 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58584,Часть 80.4 & Часть 81.1 - Фиеста,1926,['Эрнест Хемингуэй']
58583,Kapitel 95 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58582,Kapitel 349 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58581,Часть 36.2 - Фиеста,1926,['Эрнест Хемингуэй']
58578,Kapitel 127 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58577,Kapitel 249 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58576,Часть 84.2 - Фиеста,1926,['Эрнест Хемингуэй']
58575,Kapitel 427 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58574,Часть 26.3 & Часть 27.1 - Фиеста,1926,['Эрнест Хемингуэй']
58600,Kapitel 165 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58639,Páginas de Amor - Instrumental (Remasterizado 2018),1926,['Francisco Canaro']
58601,Kapitel 21 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58605,Kapitel 62 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58637,The Woman and the Snake,1926,['Reverend J.M. Gates']
58636,Kapitel 61 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58635,Did You Spend Christmas Day in Jail?,1926,['Reverend J.M. Gates']
58634,Часть 55.2 - Фиеста,1926,['Эрнест Хемингуэй']
58631,Kapitel 252 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58630,Часть 51.3 - Фиеста,1926,['Эрнест Хемингуэй']
58627,Часть 52.3 - Фиеста,1926,['Эрнест Хемингуэй']
58626,Kapitel 182 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58623,Síncopas,1926,['Iván Rolón']
58622,Часть 29.2 - Фиеста,1926,['Эрнест Хемингуэй']
58621,Kapitel 356 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58619,Часть 3.2 - Фиеста,1926,['Эрнест Хемингуэй']
58617,Kapitel 395 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58616,Часть 81.2 - Фиеста,1926,['Эрнест Хемингуэй']
58615,Notas repetidas,1926,['Iván Rolón']
58614,Часть 73.3 - Фиеста,1926,['Эрнест Хемингуэй']
58612,Часть 68.3 - Фиеста,1926,['Эрнест Хемингуэй']
58610,Часть 40.4 & Часть 41.1 - Фиеста,1926,['Эрнест Хемингуэй']
58609,Kapitel 136 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58608,Kapitel 433 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58607,Kapitel 171 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58602,Kapitel 261 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76805,Часть 9.4 & Часть 10.1 - Фиеста,1926,['Эрнест Хемингуэй']
